city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Doesburg,2022-05-20,6982 BN ,275000,Goudenregenstraat 13,https://mijn.makelaarsland.nl/woning-details/2771047,"Elektra, Elektrische deur",,,"Ligbad, douche, toilet",1,1965.0,Bestaande bouw,In overleg,20,,,"Atag uit 2019, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Grotendeels dubbelglas, HR-glas",,,,,,,111,In woonwijk,6,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,4,Beschikbaar,379,Cv-ketel
Leeuwarden,2022-05-20,8911 BN ,875000,Zuiderstraat 26,https://mijn.makelaarsland.nl/woning-details/2771044,"Mechanische ventilatie, Buitenzonwering","Appartement, Penthouse",Dakterras aanwezig,Douche,1,2018.0,Bestaande bouw,In overleg,15,0e woonlaag,2,,"Blokverwarming, Vloerverwarming geheel",Volledig geïsoleerd,Ja,513,Ja,Ja,Ja,Ja,192,"In centrum, Vrij uitzicht",58,"Parkeergarage, Op afgesloten terrein",,4,Beschikbaar,662,Elektrische boiler eigendom
Veendam,2022-05-20,9644 XL ,230000,Zuidwending 50,https://mijn.makelaarsland.nl/woning-details/2771042,Voorzien van elektra,,,Douche,1,1900.0,Bestaande bouw,Per 01 oktober 2022,20,,,"Intergas Hre uit 2018, Eigendom",Cv-ketel,Geen isolatie,,,,,,,120,"Vrij uitzicht, Landelijk gelegen",17,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,425,Cv-ketel
Amsterdam,2022-05-20,1016 SP ,800000,Hazenstraat 14,https://mijn.makelaarsland.nl/woning-details/2771041,,,,"2 douches, 2 toiletten",2,1870.0,Bestaande bouw,In overleg,,,,,Cv-ketel,,,,,,,,121,"Aan rustige weg, In centrum, In woonwijk, Beschutte ligging",,Openbaar parkeren,Plat dak,4,Beschikbaar,389,Cv-ketel
Hoedekenskerke,2022-05-20,4433 AH ,300000,'s-Gravenpoldersestraat 30,https://mijn.makelaarsland.nl/woning-details/2771040,,,,Ligbad,1,1955.0,Bestaande bouw,In overleg,108,,,Atag uit 2017,Cv-ketel,Dubbel glas,,,,,,,102,,,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,377,Cv-ketel
Wieringerwerf,2022-05-20,1771 AN ,206000,Sternstraat 1,https://mijn.makelaarsland.nl/woning-details/2771039,TV kabel,,,Douche,1,1950.0,Bestaande bouw,In overleg,34,,,"Intergas, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas",,,,,,,68,"Aan rustige weg, In centrum, In woonwijk",,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,4,Beschikbaar,290,Cv-ketel
Vogelwaarde,2022-05-20,4581 AT ,250000,Olmenstraat 1,https://mijn.makelaarsland.nl/woning-details/2771038,,,,"Douche, toilet",1,1981.0,Bestaande bouw,In overleg,,,,,Cv-ketel,,,,,,,,142,,,,,5,Beschikbaar,493,Cv-ketel
's-Gravenhage,2022-05-20,2524 CA ,325000,Hugo Verrieststraat 29,https://mijn.makelaarsland.nl/woning-details/2771037,Dakraam,,Balkon aanwezig,Ligbad,1,1932.0,Bestaande bouw,In overleg,3,,,"ATAG uit 2020, Eigendom",Cv-ketel,Dubbel glas,,,,,,,106,"Aan rustige weg, In woonwijk",3,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen",Zadeldak bedekt met pannen,5,Beschikbaar,357,Geiser eigendom
Nieuw Namen,2022-05-20,4568 BE ,219000,Kapelleberg 1 a,https://mijn.makelaarsland.nl/woning-details/2771036,,,,Ligbad,1,1901.0,Bestaande bouw,In overleg,17,,,Agpo Domina,Cv-ketel,,,,,,,,96,,,,,4,Beschikbaar,435,Cv-ketel
Voorburg,2022-05-20,2273 KJ ,340000,Bruijnings Ingenhoeslaan 45,https://mijn.makelaarsland.nl/woning-details/2771035,,"Appartement, Maisonnette",,,,1950.0,Bestaande bouw,In overleg,3,2e woonlaag,2,"Remeha uit 2009, Eigendom",Cv-ketel,,Ja,132,Ja,Ja,Ja,Ja,93,,3,Openbaar parkeren,Zadeldak bedekt met pannen,3,Beschikbaar,325,Cv-ketel
Tilburg,2022-05-20,5038 TB ,539000,Stadhuisplein 90,https://mijn.makelaarsland.nl/woning-details/2771091,"Elektra, Elektrische deur","Appartement, Portiekflat",Balkon aanwezig,"Ligbad, douche, toilet",1,1979.0,Bestaande bouw,In overleg,24,1e woonlaag,1,"Nefit HR uit 2017, Eigendom",Cv-ketel,"Dakisolatie, Dubbel glas, HR-glas",Ja,248,Ja,Ja,Ja,Ja,131,In centrum,21,"Betaald parkeren, Parkeergarage, Parkeervergunningen",Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,412,Cv-ketel
